author,title,Url
Stephen King,Sleeping Beauties,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/Sleeping_Beauties_novel.png/220px-Sleeping_Beauties_novel.png
Террі Пратчетт,Колір Магії,
